file_path,relative_path,filename,size_bytes,size_mb,mtime,file_hash,registered_at
D:\桌面\本地PDF文献知识库\Characterization and biodegradation behavior of micro-arc oxidation coatings formed on Mg–Zn–Ca alloys in two different electrolytes.pdf,Characterization and biodegradation behavior of micro-arc oxidation coatings formed on Mg–Zn–Ca alloys in two different electrolytes.pdf,Characterization and biodegradation behavior of micro-arc oxidation coatings formed on Mg–Zn–Ca alloys in two different electrolytes.pdf,1520622,1.45,2025-08-08T17:10:35.536525,f808561cb498904cbeb3ef6270a9cd58,2025-08-13T23:48:03.054617
D:\桌面\本地PDF文献知识库\Characterization and biodegradation behavior.pdf,Characterization and biodegradation behavior.pdf,Characterization and biodegradation behavior.pdf,1520623,1.45,2025-08-08T16:17:00.958968,a8bef9f02494b2db286f3042fd3edb37,2025-08-13T23:48:03.056961
D:\桌面\本地PDF文献知识库\Characterization of ZrO2 ceramic coatings on ZrH1.8 prepared in different electrolytes by micro-arc oxidation.pdf,Characterization of ZrO2 ceramic coatings on ZrH1.8 prepared in different electrolytes by micro-arc oxidation.pdf,Characterization of ZrO2 ceramic coatings on ZrH1.8 prepared in different electrolytes by micro-arc oxidation.pdf,1788838,1.71,2025-08-08T21:13:02.896645,a3d49be2f30ef31195a9a6f619905569,2025-08-13T23:48:03.059931
D:\桌面\本地PDF文献知识库\Comparative analysis for corrosion resistance of micro-arc oxidation coatings on coarse-grained and ultra-fine grained AZ91D Mg alloy.pdf,Comparative analysis for corrosion resistance of micro-arc oxidation coatings on coarse-grained and ultra-fine grained AZ91D Mg alloy.pdf,Comparative analysis for corrosion resistance of micro-arc oxidation coatings on coarse-grained and ultra-fine grained AZ91D Mg alloy.pdf,2174354,2.07,2025-08-08T21:18:02.988919,fe36456c3b9fb1e89bc37e00e9823570,2025-08-13T23:48:03.063425
D:\桌面\本地PDF文献知识库\Comparison of Ti–35Nb–7Zr–5Ta and Ti–6Al–4V hydrofluoric acid.pdf,Comparison of Ti–35Nb–7Zr–5Ta and Ti–6Al–4V hydrofluoric acid.pdf,Comparison of Ti–35Nb–7Zr–5Ta and Ti–6Al–4V hydrofluoric acid.pdf,2471475,2.36,2025-08-08T15:48:59.403559,dc13be83b40b68d605d1f8324defdc7a,2025-08-13T23:48:03.067356
D:\桌面\本地PDF文献知识库\Comparison of tribological and corrosion behaviors of Cp Ti coated.pdf,Comparison of tribological and corrosion behaviors of Cp Ti coated.pdf,Comparison of tribological and corrosion behaviors of Cp Ti coated.pdf,2298829,2.19,2025-08-08T15:39:56.425364,452ec39c1a050aa9e0bb881a5fb85f17,2025-08-13T23:48:03.070861
D:\桌面\本地PDF文献知识库\Correlation between Electric Parameters and Microstructural Properties of LZ91 Mg Alloy Coated by Micro Arc Oxidation.pdf,Correlation between Electric Parameters and Microstructural Properties of LZ91 Mg Alloy Coated by Micro Arc Oxidation.pdf,Correlation between Electric Parameters and Microstructural Properties of LZ91 Mg Alloy Coated by Micro Arc Oxidation.pdf,1566772,1.49,2025-08-09T22:31:14.930076,fb6b293866c3f9c378e4da545609e835,2025-08-13T23:48:03.073347
D:\桌面\本地PDF文献知识库\Corrosion and bacterial resistance of MAO-PA composite coating on AZ91 magnesium alloy.pdf,Corrosion and bacterial resistance of MAO-PA composite coating on AZ91 magnesium alloy.pdf,Corrosion and bacterial resistance of MAO-PA composite coating on AZ91 magnesium alloy.pdf,4703364,4.49,2025-08-08T21:27:30.504263,f92e5cf32aef11e64bf45a4f2763768d,2025-08-13T23:48:03.080510
D:\桌面\本地PDF文献知识库\Corrosion and wear performances of hydroxyapatite and boron-containing TiO2 composite coatings on Ti6Al7Nb alloy.pdf,Corrosion and wear performances of hydroxyapatite and boron-containing TiO2 composite coatings on Ti6Al7Nb alloy.pdf,Corrosion and wear performances of hydroxyapatite and boron-containing TiO2 composite coatings on Ti6Al7Nb alloy.pdf,2673899,2.55,2025-08-08T16:11:26.111174,ed80cea5443f65dc3b0f1018849637ee,2025-08-13T23:48:03.084730
D:\桌面\本地PDF文献知识库\Corrosion and Wear Resistance of Micro‐Arc Oxidation Composite Coatings on Magnesium Alloy AZ31.pdf,Corrosion and Wear Resistance of Micro‐Arc Oxidation Composite Coatings on Magnesium Alloy AZ31.pdf,Corrosion and Wear Resistance of Micro‐Arc Oxidation Composite Coatings on Magnesium Alloy AZ31.pdf,13867469,13.23,2025-08-08T21:32:06.018918,d5ad692ec658fd8152f111f9365e35b0,2025-08-13T23:48:03.105410
D:\桌面\本地PDF文献知识库\Corrosion behavior of micro-arc oxidation coating on.pdf,Corrosion behavior of micro-arc oxidation coating on.pdf,Corrosion behavior of micro-arc oxidation coating on.pdf,1009492,0.96,2025-08-08T21:23:47.886282,cbc9142118ffbf60bf375eed21550ecb,2025-08-13T23:48:03.107245
D:\桌面\本地PDF文献知识库\Degradation behavior of n-MAOEPD bio-ceramic composite coatings.pdf,Degradation behavior of n-MAOEPD bio-ceramic composite coatings.pdf,Degradation behavior of n-MAOEPD bio-ceramic composite coatings.pdf,4361885,4.16,2025-08-08T16:51:47.661304,329533e8e99e5400ecb884d9fcc8ae24,2025-08-13T23:48:03.113954
"D:\桌面\本地PDF文献知识库\Effect of (NH4)2ZrF6, Voltage and Treating Time on Corrosion Resistance of Micro-Arc Oxidation Coatings Applied on ZK61M Magnesium Alloys.pdf","Effect of (NH4)2ZrF6, Voltage and Treating Time on Corrosion Resistance of Micro-Arc Oxidation Coatings Applied on ZK61M Magnesium Alloys.pdf","Effect of (NH4)2ZrF6, Voltage and Treating Time on Corrosion Resistance of Micro-Arc Oxidation Coatings Applied on ZK61M Magnesium Alloys.pdf",4709787,4.49,2025-08-09T21:48:28.775242,dfbb21067ca1317745688127c4e3a2ac,2025-08-13T23:48:03.121082
D:\桌面\本地PDF文献知识库\Effect of adding K3 Fe C2O4 3  on the characteristics of the magnesium alloy micro-arc oxidation coating.pdf,Effect of adding K3 Fe C2O4 3  on the characteristics of the magnesium alloy micro-arc oxidation coating.pdf,Effect of adding K3 Fe C2O4 3  on the characteristics of the magnesium alloy micro-arc oxidation coating.pdf,1843589,1.76,2025-08-08T16:28:49.518749,0b2ee6e62ce23bdc435d2bdf75236201,2025-08-13T23:48:03.124081
D:\桌面\本地PDF文献知识库\Effect of alumina sol addition to micro-arc oxidation electrolyte on the properties of MAO coatings formed on magnesium alloy AZ91D.pdf,Effect of alumina sol addition to micro-arc oxidation electrolyte on the properties of MAO coatings formed on magnesium alloy AZ91D.pdf,Effect of alumina sol addition to micro-arc oxidation electrolyte on the properties of MAO coatings formed on magnesium alloy AZ91D.pdf,723645,0.69,2025-08-08T16:42:17.303755,aa6ea22527077bdb6dcecccfd178c89d,2025-08-13T23:48:03.125542
D:\桌面\本地PDF文献知识库\Effect of anodising electrolyte on performance of AZ31 and AM60 magnesium alloys microarc anodic oxides.pdf,Effect of anodising electrolyte on performance of AZ31 and AM60 magnesium alloys microarc anodic oxides.pdf,Effect of anodising electrolyte on performance of AZ31 and AM60 magnesium alloys microarc anodic oxides.pdf,1028245,0.98,2025-08-08T17:08:23.926209,7c24c5a50835d5fa4cdc1c148a3eff74,2025-08-13T23:48:03.127389
D:\桌面\本地PDF文献知识库\Effect of Bi2S3 on Characteristics of Micro-arc Oxidation Coating formed on TC4 Alloy.pdf,Effect of Bi2S3 on Characteristics of Micro-arc Oxidation Coating formed on TC4 Alloy.pdf,Effect of Bi2S3 on Characteristics of Micro-arc Oxidation Coating formed on TC4 Alloy.pdf,1624396,1.55,2025-08-09T22:30:16.927857,72c634757db6ab7245a8787382b3316a,2025-08-13T23:48:03.129971
D:\桌面\本地PDF文献知识库\Effect of Carbohydrates on the Formation Process and Performance of Micro-Arc Oxidation Coatings on AZ31B Magnesium Alloy.pdf,Effect of Carbohydrates on the Formation Process and Performance of Micro-Arc Oxidation Coatings on AZ31B Magnesium Alloy.pdf,Effect of Carbohydrates on the Formation Process and Performance of Micro-Arc Oxidation Coatings on AZ31B Magnesium Alloy.pdf,7490192,7.14,2025-08-08T16:55:56.740871,ab34d95114771f6a2dc67bf942a14695,2025-08-13T23:48:03.141100
D:\桌面\本地PDF文献知识库\Effect of duty cycle and electrolyte additive on photocatalytic.pdf,Effect of duty cycle and electrolyte additive on photocatalytic.pdf,Effect of duty cycle and electrolyte additive on photocatalytic.pdf,1738036,1.66,2025-08-08T15:09:16.296320,771752f98b1107830021269e3fceb78d,2025-08-13T23:48:03.144242
D:\桌面\本地PDF文献知识库\Effect of electric mode of micro-arc oxidation on.pdf,Effect of electric mode of micro-arc oxidation on.pdf,Effect of electric mode of micro-arc oxidation on.pdf,2306971,2.2,2025-08-09T21:48:57.259958,ac133412da4730110724692179f609b8,2025-08-13T23:48:03.147951
D:\桌面\本地PDF文献知识库\Effect of electrical parameters on the growth and.pdf,Effect of electrical parameters on the growth and.pdf,Effect of electrical parameters on the growth and.pdf,2796959,2.67,2025-08-09T21:47:45.300123,eb3eb1d6030fe5bd64701b09d0d25bbe,2025-08-13T23:48:03.152206
D:\桌面\本地PDF文献知识库\Effect of electrolyte composition ratio of micro-arc oxidation on interlaminar strength of CFRPMg laminates.pdf,Effect of electrolyte composition ratio of micro-arc oxidation on interlaminar strength of CFRPMg laminates.pdf,Effect of electrolyte composition ratio of micro-arc oxidation on interlaminar strength of CFRPMg laminates.pdf,3531620,3.37,2025-08-08T16:53:03.055440,46caed533f5d74e64153e2f6ac5f45eb,2025-08-13T23:48:03.157499
D:\桌面\本地PDF文献知识库\Effect of Electrolyte Constituent on Morphology and Composition of the Microarc Oxidation Coating on Magnesium Alloy.pdf,Effect of Electrolyte Constituent on Morphology and Composition of the Microarc Oxidation Coating on Magnesium Alloy.pdf,Effect of Electrolyte Constituent on Morphology and Composition of the Microarc Oxidation Coating on Magnesium Alloy.pdf,1268213,1.21,2025-08-08T16:26:02.718712,de11439015c5178faff1ae4c387a7f00,2025-08-13T23:48:03.159691
D:\桌面\本地PDF文献知识库\Effect of Electrolyte in Microarc Oxidation on Providing Corrosion Resistance to Inhomogeneous Microstructure in ZM21 Magnesium Alloy.pdf,Effect of Electrolyte in Microarc Oxidation on Providing Corrosion Resistance to Inhomogeneous Microstructure in ZM21 Magnesium Alloy.pdf,Effect of Electrolyte in Microarc Oxidation on Providing Corrosion Resistance to Inhomogeneous Microstructure in ZM21 Magnesium Alloy.pdf,496361,0.47,2025-08-08T17:11:13.453592,ee2d3a0ed5538a73f604ebc58a3e1e07,2025-08-13T23:48:03.160686
D:\桌面\本地PDF文献知识库\Effect of icosahedral phase on growth behavior of thin oxide film on MgZn12Y1.7 alloy via micro arc oxidation.pdf,Effect of icosahedral phase on growth behavior of thin oxide film on MgZn12Y1.7 alloy via micro arc oxidation.pdf,Effect of icosahedral phase on growth behavior of thin oxide film on MgZn12Y1.7 alloy via micro arc oxidation.pdf,1443671,1.38,2025-08-09T22:32:11.314858,16c8a860ab7c5852e09140c1902bdb89,2025-08-13T23:48:03.162983
D:\桌面\本地PDF文献知识库\Effect of KOH Concentration on the Microstructure and Electrochemical Properties of MAO-Coated Mg Alloy AZ31B.pdf,Effect of KOH Concentration on the Microstructure and Electrochemical Properties of MAO-Coated Mg Alloy AZ31B.pdf,Effect of KOH Concentration on the Microstructure and Electrochemical Properties of MAO-Coated Mg Alloy AZ31B.pdf,1429266,1.36,2025-08-08T16:15:39.101488,c163801bfd9338f88540b4baa90bc870,2025-08-13T23:48:03.165189
D:\桌面\本地PDF文献知识库\Effect of micro-arc oxidation on antimicrobial properties and biocompatibility of biomedical Ti-xFe alloys.pdf,Effect of micro-arc oxidation on antimicrobial properties and biocompatibility of biomedical Ti-xFe alloys.pdf,Effect of micro-arc oxidation on antimicrobial properties and biocompatibility of biomedical Ti-xFe alloys.pdf,9987149,9.52,2025-08-09T22:32:48.991203,cd0a9af008b0b428f131218d33232758,2025-08-13T23:48:03.180367
D:\桌面\本地PDF文献知识库\Effect of Na2WO4 on Growth Process and Corrosion Resistance of Micro-arc Oxidation Coatings on 2A12 Aluminum Alloys in CH3COONa Electrolyte.pdf,Effect of Na2WO4 on Growth Process and Corrosion Resistance of Micro-arc Oxidation Coatings on 2A12 Aluminum Alloys in CH3COONa Electrolyte.pdf,Effect of Na2WO4 on Growth Process and Corrosion Resistance of Micro-arc Oxidation Coatings on 2A12 Aluminum Alloys in CH3COONa Electrolyte.pdf,1699638,1.62,2025-08-08T17:03:21.643823,a4a4ec982d28538dae19f20ea7504b47,2025-08-13T23:48:03.183323
D:\桌面\本地PDF文献知识库\Effect of Oxidation Time on the Structure and Corrosion Resistance of Micro-Arc Oxidation Coating of AZ91D Magnesium Alloy in (NH4)2ZrF6 Electrolyte System.pdf,Effect of Oxidation Time on the Structure and Corrosion Resistance of Micro-Arc Oxidation Coating of AZ91D Magnesium Alloy in (NH4)2ZrF6 Electrolyte System.pdf,Effect of Oxidation Time on the Structure and Corrosion Resistance of Micro-Arc Oxidation Coating of AZ91D Magnesium Alloy in (NH4)2ZrF6 Electrolyte System.pdf,5001113,4.77,2025-08-08T16:56:16.923996,7cd29f701833500c3a939342bc508445,2025-08-13T23:48:03.191212
D:\桌面\本地PDF文献知识库\Effect of positive pulse voltage on color value and corrosion property of magnesium alloy black micro-arc oxidation ceramic coating.pdf,Effect of positive pulse voltage on color value and corrosion property of magnesium alloy black micro-arc oxidation ceramic coating.pdf,Effect of positive pulse voltage on color value and corrosion property of magnesium alloy black micro-arc oxidation ceramic coating.pdf,3880677,3.7,2025-08-09T22:29:56.528353,dcdd1ac5df288637e10db3eb33eaac96,2025-08-13T23:48:03.197596
D:\桌面\本地PDF文献知识库\Effect of potassium fluotitanate concentration on the corrosion resistance and degradation property of micro-arc oxidized ZM21 magnesium alloys.pdf,Effect of potassium fluotitanate concentration on the corrosion resistance and degradation property of micro-arc oxidized ZM21 magnesium alloys.pdf,Effect of potassium fluotitanate concentration on the corrosion resistance and degradation property of micro-arc oxidized ZM21 magnesium alloys.pdf,7715018,7.36,2025-08-08T21:26:21.272133,3141a86ab24c7839c33c2cc405217b9c,2025-08-13T23:48:03.209356
D:\桌面\本地PDF文献知识库\Effect of preparation parameters on the properties of hydroxyapatite.pdf,Effect of preparation parameters on the properties of hydroxyapatite.pdf,Effect of preparation parameters on the properties of hydroxyapatite.pdf,2341342,2.23,2025-08-08T16:16:08.468340,495601f884335ad7e97c9858aef69857,2025-08-13T23:48:03.213038
D:\桌面\本地PDF文献知识库\Effect of P–Si Binary System on the Formation Mechanism of AZ91D MAO Coating.pdf,Effect of P–Si Binary System on the Formation Mechanism of AZ91D MAO Coating.pdf,Effect of P–Si Binary System on the Formation Mechanism of AZ91D MAO Coating.pdf,11006592,10.5,2025-08-08T21:31:33.758694,5388be570c19a8f513de3de9869715b8,2025-08-13T23:48:03.229365
D:\桌面\本地PDF文献知识库\Effect of Voltage on the Microstructure and Corrosion Properties of MAO Coatings on Biodegradable ZK60 Mg Alloys.pdf,Effect of Voltage on the Microstructure and Corrosion Properties of MAO Coatings on Biodegradable ZK60 Mg Alloys.pdf,Effect of Voltage on the Microstructure and Corrosion Properties of MAO Coatings on Biodegradable ZK60 Mg Alloys.pdf,933599,0.89,2025-08-09T21:46:46.301178,6c78886b8f5f9b354f565db456b9d508,2025-08-13T23:48:03.231032
D:\桌面\本地PDF文献知识库\Effect of ytterbium oxide on the structure and corrosion resistance of.pdf,Effect of ytterbium oxide on the structure and corrosion resistance of.pdf,Effect of ytterbium oxide on the structure and corrosion resistance of.pdf,17360224,16.56,2025-08-08T16:19:49.167344,b8ee05a914985b2f93c0b274665b6ced,2025-08-13T23:48:03.257066
D:\桌面\本地PDF文献知识库\Effect of zinc phosphate pretreatment on micro-arc oxidation performance.pdf,Effect of zinc phosphate pretreatment on micro-arc oxidation performance.pdf,Effect of zinc phosphate pretreatment on micro-arc oxidation performance.pdf,6654370,6.35,2025-08-08T16:54:36.787677,dbdf14dc66a6654dcecfe8750a10f232,2025-08-13T23:48:03.267134
D:\桌面\本地PDF文献知识库\Effect of ZrSiO4 Concentration on the Microstructure and Corrosion Resistance of MAO Coatings Formed on AZ91 Magnesium Alloy.pdf,Effect of ZrSiO4 Concentration on the Microstructure and Corrosion Resistance of MAO Coatings Formed on AZ91 Magnesium Alloy.pdf,Effect of ZrSiO4 Concentration on the Microstructure and Corrosion Resistance of MAO Coatings Formed on AZ91 Magnesium Alloy.pdf,3454777,3.29,2025-08-08T16:37:50.101082,75c89362b9faae2db66f109e207f306a,2025-08-13T23:48:03.272310
D:\桌面\本地PDF文献知识库\Effects of additives on corrosion and wear resistance of micro-arc oxidation coatings on TiAl alloy.pdf,Effects of additives on corrosion and wear resistance of micro-arc oxidation coatings on TiAl alloy.pdf,Effects of additives on corrosion and wear resistance of micro-arc oxidation coatings on TiAl alloy.pdf,618914,0.59,2025-08-09T22:32:32.876982,c6aae8f3d1f8b0cc8a6edd0494aca1d8,2025-08-13T23:48:03.273366
D:\桌面\本地PDF文献知识库\Effects of Al2O3 Nano-additive on Performance of Micro-arc Oxidation Coatings Formed on AZ91D Mg Alloy.pdf,Effects of Al2O3 Nano-additive on Performance of Micro-arc Oxidation Coatings Formed on AZ91D Mg Alloy.pdf,Effects of Al2O3 Nano-additive on Performance of Micro-arc Oxidation Coatings Formed on AZ91D Mg Alloy.pdf,1752215,1.67,2025-08-09T22:31:57.657174,092b1fbe3dcedf507d34ee546444730e,2025-08-13T23:48:03.276365
D:\桌面\本地PDF文献知识库\Effects of Cobalt(II)Sulfate Addition on Structure and Corrosion Resistance of Alloy Micro-arc oxidation Coating on the ZL108 Aluminum.pdf,Effects of Cobalt(II)Sulfate Addition on Structure and Corrosion Resistance of Alloy Micro-arc oxidation Coating on the ZL108 Aluminum.pdf,Effects of Cobalt(II)Sulfate Addition on Structure and Corrosion Resistance of Alloy Micro-arc oxidation Coating on the ZL108 Aluminum.pdf,642333,0.61,2025-08-09T21:48:17.683275,858240ab50ec2bb159bd5d8ada1d7d20,2025-08-13T23:48:03.277688
D:\桌面\本地PDF文献知识库\Effects of copper additive on micro-arc oxidation coating of LZ91 magnesium-lithium alloy.pdf,Effects of copper additive on micro-arc oxidation coating of LZ91 magnesium-lithium alloy.pdf,Effects of copper additive on micro-arc oxidation coating of LZ91 magnesium-lithium alloy.pdf,1844972,1.76,2025-08-08T16:42:48.188143,054516fe5175f9bd5fcc6289fbf65673,2025-08-13T23:48:03.280569
D:\桌面\本地PDF文献知识库\Effects of electric parameters on corrosion resistance of anodic coatings formed on magnesium alloys.pdf,Effects of electric parameters on corrosion resistance of anodic coatings formed on magnesium alloys.pdf,Effects of electric parameters on corrosion resistance of anodic coatings formed on magnesium alloys.pdf,499569,0.48,2025-08-09T22:34:07.159823,635b126c11d4a689c5c231ca8e55626d,2025-08-13T23:48:03.281485
D:\桌面\本地PDF文献知识库\Effects of Pulsed Unipolar and Bipolar Current Regimes on the Characteristics of Micro-Arc Oxidation Coating on LZ91 Magnesium-Lithium Alloy.pdf,Effects of Pulsed Unipolar and Bipolar Current Regimes on the Characteristics of Micro-Arc Oxidation Coating on LZ91 Magnesium-Lithium Alloy.pdf,Effects of Pulsed Unipolar and Bipolar Current Regimes on the Characteristics of Micro-Arc Oxidation Coating on LZ91 Magnesium-Lithium Alloy.pdf,901778,0.86,2025-08-08T16:53:23.415742,9144aee3c4eb78c5e247c4395437db19,2025-08-13T23:48:03.282940
D:\桌面\本地PDF文献知识库\Effects of reinforcement phases in magnesium matrix composites on microarc discharge behavior and characteristics of microarc oxidation coatings.pdf,Effects of reinforcement phases in magnesium matrix composites on microarc discharge behavior and characteristics of microarc oxidation coatings.pdf,Effects of reinforcement phases in magnesium matrix composites on microarc discharge behavior and characteristics of microarc oxidation coatings.pdf,491426,0.47,2025-08-08T16:48:20.870102,1353e39184a7f92f5c109ac1e846543e,2025-08-13T23:48:03.283809
D:\桌面\本地PDF文献知识库\Effects of sodium tungstate on characteristics of microarc oxidation coatings.pdf,Effects of sodium tungstate on characteristics of microarc oxidation coatings.pdf,Effects of sodium tungstate on characteristics of microarc oxidation coatings.pdf,734126,0.7,2025-08-08T16:21:36.780624,f9b75793a534d8ee36e0ce5f3a7ae609,2025-08-13T23:48:03.285025
D:\桌面\本地PDF文献知识库\Effects of sodium tungstate on properties of.pdf,Effects of sodium tungstate on properties of.pdf,Effects of sodium tungstate on properties of.pdf,691261,0.66,2025-08-09T22:29:32.705348,fcd31e021168893f184e202723609940,2025-08-13T23:48:03.286153
D:\桌面\本地PDF文献知识库\Effects of Voltage on Microstructure and Corrosion Resistance of Micro-arc Oxidation Ceramic Coatings Formed on KBM10 Magnesium Alloy.pdf,Effects of Voltage on Microstructure and Corrosion Resistance of Micro-arc Oxidation Ceramic Coatings Formed on KBM10 Magnesium Alloy.pdf,Effects of Voltage on Microstructure and Corrosion Resistance of Micro-arc Oxidation Ceramic Coatings Formed on KBM10 Magnesium Alloy.pdf,3160430,3.01,2025-08-08T16:57:41.154303,a2c6e9c8e308a14f143b13196277df3b,2025-08-13T23:48:03.291220
D:\桌面\本地PDF文献知识库\Electrochemical Evaluation of Strontium-Doped Micro-Arc Oxidation Surfaces on Titanium.pdf,Electrochemical Evaluation of Strontium-Doped Micro-Arc Oxidation Surfaces on Titanium.pdf,Electrochemical Evaluation of Strontium-Doped Micro-Arc Oxidation Surfaces on Titanium.pdf,2433210,2.32,2025-08-08T15:32:45.487947,267a593876a0fa15055589ec43347ffb,2025-08-13T23:48:03.295189
D:\桌面\本地PDF文献知识库\Electrochemical performance of microarc oxidation films formed on AZ91D magnesium alloy in silicate and phosphate electrolytes.pdf,Electrochemical performance of microarc oxidation films formed on AZ91D magnesium alloy in silicate and phosphate electrolytes.pdf,Electrochemical performance of microarc oxidation films formed on AZ91D magnesium alloy in silicate and phosphate electrolytes.pdf,403638,0.38,2025-08-08T17:10:58.796568,e7dec40bdc90ac7ff4a1e47443d2d74a,2025-08-13T23:48:03.296019
D:\桌面\本地PDF文献知识库\Electrochemical performance of microarc oxidation films formed on.pdf,Electrochemical performance of microarc oxidation films formed on.pdf,Electrochemical performance of microarc oxidation films formed on.pdf,403638,0.38,2025-08-08T16:37:37.093457,e7dec40bdc90ac7ff4a1e47443d2d74a,2025-08-13T23:48:03.296797
D:\桌面\本地PDF文献知识库\Electrochemical surface engineering of titanium-based alloys for biomedical application.pdf,Electrochemical surface engineering of titanium-based alloys for biomedical application.pdf,Electrochemical surface engineering of titanium-based alloys for biomedical application.pdf,5699647,5.44,2025-08-09T22:33:37.355062,5e7b4d25d9eb15e4eaeec28d3f50d77a,2025-08-13T23:48:03.305279
D:\桌面\本地PDF文献知识库\Elevated Temperature Wear Behavior of AZ91 Magnesium Alloy After Micro-Arc Oxidation in Single and Dual Phase Electrolytes.pdf,Elevated Temperature Wear Behavior of AZ91 Magnesium Alloy After Micro-Arc Oxidation in Single and Dual Phase Electrolytes.pdf,Elevated Temperature Wear Behavior of AZ91 Magnesium Alloy After Micro-Arc Oxidation in Single and Dual Phase Electrolytes.pdf,1114712,1.06,2025-08-08T17:12:27.435231,0ae8edadebf315dad8aa2f1ecf7e3ec3,2025-08-13T23:48:03.307135
